product_id,product_name,category,base_price,days_to_expiry,demand_factor,current_stock,adjusted_price
WMT00000,Product_0,Dairy,141.45,10,1.19,245,134.66
WMT00001,Product_1,Dairy,38.7,29,1.2,290,37.15
WMT00002,Product_2,Fruits,123.55,22,0.85,207,84.01
WMT00003,Product_3,Meat,71.32,24,1.42,68,81.02
WMT00004,Product_4,Meat,99.77,22,1.28,78,102.16
WMT00005,Product_5,Meat,122.19,14,0.81,296,79.18
WMT00006,Product_6,Dairy,131.95,1,1.47,217,190.09
WMT00007,Product_7,Bakery,141.16,9,1.21,13,140.06
WMT00008,Product_8,Dairy,118.91,3,1.37,38,153.13
WMT00009,Product_9,Bakery,68.81,2,1.45,119,95.78
WMT00010,Product_10,Vegetables,95.63,22,0.53,140,40.55
WMT00011,Product_11,Dairy,32.46,4,1.43,80,42.7
WMT00012,Product_12,Dairy,46.77,6,1.0,95,41.16
WMT00013,Product_13,Dairy,128.92,27,1.09,95,112.42
WMT00014,Product_14,Meat,187.43,28,1.36,198,203.92
WMT00015,Product_15,Meat,59.42,25,0.65,207,30.9
WMT00016,Product_16,Bakery,112.36,15,0.94,76,84.49
WMT00017,Product_17,Bakery,155.17,16,1.08,150,134.07
WMT00018,Product_18,Dairy,117.39,21,0.58,215,54.47
WMT00019,Product_19,Bakery,75.97,21,0.68,263,41.33
WMT00020,Product_20,Meat,104.44,15,0.67,252,55.98
WMT00021,Product_21,Bakery,172.91,21,0.76,175,105.13
WMT00022,Product_22,Vegetables,117.05,16,0.94,49,88.02
WMT00023,Product_23,Meat,183.14,6,0.96,212,154.72
WMT00024,Product_24,Vegetables,47.56,24,0.61,211,23.21
WMT00025,Product_25,Bakery,159.98,28,1.23,218,157.42
WMT00026,Product_26,Fruits,101.95,20,1.02,126,83.19
WMT00027,Product_27,Dairy,131.91,13,0.57,10,60.15
WMT00028,Product_28,Meat,197.52,22,0.84,134,132.73
WMT00029,Product_29,Vegetables,153.35,8,0.51,49,65.7
WMT00030,Product_30,Fruits,116.82,15,1.31,263,122.43
WMT00031,Product_31,Fruits,97.54,25,1.04,86,81.15
WMT00032,Product_32,Meat,51.85,3,1.27,69,61.9
WMT00033,Product_33,Meat,197.57,13,0.76,61,120.12
WMT00034,Product_34,Fruits,185.71,5,0.5,227,83.57
WMT00035,Product_35,Dairy,53.73,19,1.21,93,52.01
WMT00036,Product_36,Dairy,145.28,21,0.93,165,108.09
WMT00037,Product_37,Vegetables,22.2,19,0.59,152,10.48
WMT00038,Product_38,Dairy,160.28,13,1.12,97,143.61
WMT00039,Product_39,Fruits,26.44,20,0.67,44,14.17
WMT00040,Product_40,Fruits,148.35,15,1.02,222,121.05
WMT00041,Product_41,Bakery,31.66,6,0.64,205,17.83
WMT00042,Product_42,Fruits,78.4,10,0.56,44,35.12
WMT00043,Product_43,Dairy,107.86,28,0.87,236,75.07
WMT00044,Product_44,Vegetables,79.93,15,0.71,231,45.4
WMT00045,Product_45,Bakery,197.84,7,0.89,30,151.43
WMT00046,Product_46,Dairy,22.87,21,0.7,11,12.81
WMT00047,Product_47,Vegetables,166.23,28,0.87,13,115.7
WMT00048,Product_48,Dairy,54.99,28,1.11,163,48.83
WMT00049,Product_49,Bakery,157.0,11,0.67,39,84.15
WMT00050,Product_50,Fruits,189.4,22,0.8,283,121.22
WMT00051,Product_51,Bakery,89.24,29,0.71,106,50.69
WMT00052,Product_52,Fruits,174.42,4,0.91,300,146.02
WMT00053,Product_53,Bakery,150.83,18,0.66,108,79.64
WMT00054,Product_54,Meat,35.81,10,0.71,231,20.34
WMT00055,Product_55,Dairy,170.35,25,0.53,212,72.23
WMT00056,Product_56,Dairy,88.73,1,0.53,218,46.09
WMT00057,Product_57,Meat,157.65,24,0.97,207,122.34
WMT00058,Product_58,Fruits,113.94,15,1.39,212,126.7
WMT00059,Product_59,Dairy,31.9,26,0.92,78,23.48
WMT00060,Product_60,Meat,23.2,16,1.08,210,20.04
WMT00061,Product_61,Dairy,48.69,5,1.43,26,62.66
WMT00062,Product_62,Vegetables,116.25,26,0.52,269,48.36
WMT00063,Product_63,Fruits,190.54,14,0.67,182,102.13
WMT00064,Product_64,Vegetables,155.42,16,1.19,178,147.96
WMT00065,Product_65,Fruits,93.03,25,0.92,291,68.47
WMT00066,Product_66,Meat,188.88,25,0.96,268,145.06
WMT00067,Product_67,Fruits,135.66,4,1.44,111,179.72
WMT00068,Product_68,Fruits,169.85,3,0.79,252,126.13
WMT00069,Product_69,Meat,166.0,29,0.52,70,69.06
WMT00070,Product_70,Fruits,41.42,30,1.25,33,41.42
