Product ID,Product Name,Category,Brand Score,Cost Price (cp),Selling Price (sp),Days to Expire,Demand Factor,Quantity Left,Discount (%),Adjusted Price
P00000,Milk,Dairy,3,32.04,37.03,4,0.74,466,16.74,30.83
P00001,Frozen Pizza,Frozen,5,47.97,53.34,7,0.39,318,15.24,45.21
P00002,Cream,Dairy,2,74.44,102.77,14,0.38,311,13.68,88.71
P00003,Bread,Bakery,2,72.83,90.03,5,0.37,400,20.52,71.56
P00004,Bread,Bakery,1,44.19,54.95,12,0.68,423,13.68,47.43
P00005,Butter,Dairy,5,21.23,31.19,3,0.64,434,15.99,26.2
P00006,Frozen Vegetables,Frozen,5,27.31,30.8,8,0.82,50,10.62,27.53
P00007,Spinach,Produce,4,35.02,47.43,12,0.33,191,13.23,41.16
P00008,Tomato,Produce,3,73.16,100.48,3,0.69,97,17.94,82.45
P00009,Ice Cream,Frozen,2,51.6,62.33,18,0.38,176,10.68,55.67
P00010,Yogurt,Dairy,1,82.45,103.93,3,0.37,492,23.22,79.8
P00011,Frozen Vegetables,Frozen,2,68.99,86.81,15,0.31,81,13.56,75.04
P00012,Tomato,Produce,5,58.51,81.84,14,0.92,214,5.22,77.57
P00013,Croissant,Bakery,2,55.86,63.48,2,0.89,88,18.09,52.0
P00014,Tomato,Produce,4,63.68,79.85,20,1.0,280,1.2,78.89
P00015,Donut,Bakery,1,71.23,81.62,18,0.8,403,8.1,75.01
P00016,Bread,Bakery,3,49.13,62.96,9,0.98,400,10.83,56.14
P00017,Lettuce,Produce,1,88.35,107.73,17,0.69,88,9.84,97.13
P00018,Croissant,Bakery,5,95.81,140.74,1,0.68,260,17.13,116.63
P00019,Milk,Dairy,3,89.08,127.62,10,0.39,133,15.39,107.98
P00020,Frozen Pizza,Frozen,1,75.87,108.22,18,0.81,75,8.01,99.55
P00021,Fish Fillet,Meat,2,33.86,49.06,14,0.97,485,8.37,44.95
P00022,Ice Cream,Frozen,3,45.91,62.84,12,0.55,274,12.45,55.02
P00023,Chicken Breast,Meat,2,30.22,37.33,19,0.64,311,7.59,34.5
P00024,Spinach,Produce,1,73.71,82.82,3,0.92,450,18.27,67.69
P00025,Bread,Bakery,5,31.42,42.97,7,0.63,380,13.08,37.35
P00026,Frozen Fries,Frozen,4,31.87,41.09,14,0.35,59,11.55,36.34
P00027,Pork Chops,Meat,4,47.0,67.94,2,0.74,340,17.04,56.36
P00028,Milk,Dairy,4,75.54,107.28,4,0.4,107,18.6,87.33
P00029,Frozen Berries,Frozen,2,47.97,58.11,8,0.9,48,13.5,50.27
