Date,Product_ID,Product_Name,Category,Cost_Price,Selling_Price,Brand_Score,Inventory_Level,Sales,Days_to_Expire,Promotion_Flag,Discount_Percentage,Adjusted_Price,Weather,Holiday_Flag,Lead_Time_Days,Store_ID
2024-04-01,P0001,Product_1,Dairy,81.28,112.99,6.38,124,7,10,0,0.0,112.99,Sunny,0,2,S2
2024-04-01,P0002,Product_2,Vegetables,115.73,166.25,7.16,61,5,12,0,0.0,166.25,Sunny,0,6,S3
2024-04-01,P0003,Product_3,Beverages,197.95,289.02,5.93,79,11,7,0,0.0,289.02,Sunny,0,3,S3
2024-04-01,P0004,Product_4,Vegetables,179.66,251.81,6.29,131,11,11,1,18.98,204.02,Sunny,0,2,S4
2024-04-01,P0005,Product_5,Snacks,141.32,193.58,9.19,179,16,2,0,0.0,193.58,Sunny,0,5,S4
2024-04-01,P0006,Product_6,Snacks,100.18,118.22,5.02,77,10,8,0,0.0,118.22,Sunny,0,5,S2
2024-04-01,P0007,Product_7,Bakery,195.97,222.27,6.46,87,11,2,0,0.0,222.27,Sunny,0,5,S1
2024-04-01,P0008,Product_8,Snacks,42.86,47.27,8.25,124,18,14,1,18.56,38.5,Sunny,0,6,S3
2024-04-01,P0009,Product_9,Snacks,40.63,60.38,7.26,186,14,1,0,0.0,60.38,Sunny,0,4,S3
2024-04-01,P0010,Product_10,Bakery,46.49,51.74,5.92,168,12,13,0,0.0,51.74,Sunny,0,5,S4
2024-04-01,P0011,Product_11,Dairy,14.58,18.95,6.48,120,11,7,0,0.0,18.95,Sunny,0,2,S5
2024-04-01,P0012,Product_12,Dairy,20.12,24.06,7.28,189,16,10,0,0.0,24.06,Sunny,0,6,S5
2024-04-01,P0013,Product_13,Snacks,97.88,124.68,8.74,83,6,14,1,12.92,108.57,Sunny,0,2,S1
2024-04-01,P0014,Product_14,Dairy,145.83,204.86,8.14,33,5,4,0,0.0,204.86,Sunny,0,3,S1
2024-04-01,P0015,Product_15,Beverages,54.13,60.98,8.74,116,7,5,0,0.0,60.98,Sunny,0,3,S1
2024-04-01,P0016,Product_16,Dairy,172.47,195.1,6.71,72,2,7,1,6.5,182.42,Sunny,0,5,S2
2024-04-01,P0017,Product_17,Vegetables,143.21,185.11,7.59,73,7,5,0,0.0,185.11,Sunny,0,6,S5
2024-04-01,P0018,Product_18,Dairy,72.0,81.26,6.15,90,9,3,0,0.0,81.26,Sunny,0,4,S2
2024-04-01,P0019,Product_19,Bakery,18.43,25.63,6.32,121,12,10,0,0.0,25.63,Sunny,0,6,S5
2024-04-01,P0020,Product_20,Bakery,130.37,177.65,9.04,164,19,10,0,0.0,177.65,Sunny,0,4,S5
2024-04-01,P0021,Product_21,Snacks,39.65,43.74,7.12,88,12,6,1,16.66,36.45,Sunny,0,2,S3
